"The Pessimist Sees Difficulty In Every Opportunity. The Optimist Sees Opportunity In Every Difficulty.","Winston Churchill"
"Whether You Think You Can Or Think You Can't, You're Right.","Henry Ford"
"The Man Who Has Confidence In Himself Gains The Confidence Of Others.","Hasidic Proverb"
"You Are Never Too Old To Set Another Goal Or To Dream A New Dream.","C.S. Lewis"
"A Room Without Books Is Like A Body Without A Soul.","Marcus Tullius Cicero"
"Today’s Accomplishments Were Yesterday’s Impossibilities.","Robert H Schuller"
"You Don’t Have To Be Great To Start, But You Have To Start To Be Great.","Zig Ziglar"
"There's no such thing as lack of time, only lack of focus.","Robyn Pearce"
"Ambition is the path to success. Persistence is the vehicle you arrive in.","Bill Bradley"
"Failure is success in progress.","Albert Einstein"
"Chase two rabbits and catch neither","Russian proverb"
"It does not matter how slowly you go as long as you do not stop.","Confucius"
"Believe you can and you're halfway there.","Theodore Roosvelt"
"Don’t wish it were easier. Wish you were better.","Jim Rohn"
"You don’t always get what you wish for. But you always get what you work for.","Anon"
"Results happen over time, not overnight. Work hard, stay consistent, and be patient.","Anon"
"Motivation is what gets you started. Habit is what keeps you going.","Jim Rohn"
"Our greatest glory is not in never falling, but in rising every time we fall.","Confucius"
"If you want it, you’ll find a way. If you don't, you’ll find an excuse.","Unknown"
"If you get tired, learn to rest, not quit.","Unknown"
"It is never too late to be what you might have been.","George Eliot"
"Don't wait. The time will never be just right.","Napoleon Hill"
"Pain is inevitable. Suffering is optional.","Haruki Murakami"
